codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista
44549;44549;44549;44549;44549;ACIDENTE;-13.7772222222;-44.4644444444;CORIBE;BA;BRASIL;SDKE;04/02/2011;14:00:00;NULL;FINALIZADA;A-036/CENIPA/2012;SIM;2012-03-22;4;1;NÃO
44552;44552;44552;44552;44552;INCIDENTE;;;MACAÉ;RJ;BRASIL;****;30/05/2011;12:05:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44553;44553;44553;44553;44553;INCIDENTE GRAVE;0;0;PONTA DE PEDRAS;PA;BRASIL;****;31/05/2011;20:30:00;SIM;ATIVA;A DEFINIR;SIM;2019-04-08;0;1;NÃO
44554;44554;44554;44554;44554;INCIDENTE;;;COARI;AM;BRASIL;****;28/05/2011;17:23:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44556;44556;44556;44556;44556;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBJR;28/05/2011;13:20:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44564;44564;44564;44564;44564;INCIDENTE;;;BELO HORIZONTE;MG;BRASIL;****;26/05/2011;20:35:00;***;FINALIZADA;***;NÃO;NULL;2;1;NÃO
44569;44569;44569;44569;44569;INCIDENTE;;;LONDRINA;PR;BRASIL;****;02/05/2011;20:14:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44571;44571;44571;44571;44571;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;03/05/2011;18:40:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44575;44575;44575;44575;44575;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBGL;17/01/2010;12:27:00;SIM;FINALIZADA;;NÃO;NULL;0;1;NÃO
44576;44576;44576;44576;44576;ACIDENTE;-19.2691666667;-50.3372222222;UNIÃO DE MINAS;MG;BRASIL;****;28/05/2011;17:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44577;44577;44577;44577;44577;ACIDENTE;-13.64;-45.3313888889;CORRENTINA;BA;BRASIL;****;24/05/2011;16:30:00;SIM;FINALIZADA;A-126/CENIPA/2012;SIM;2012-12-28;2;1;NÃO
44579;44579;44579;44579;44579;ACIDENTE;-8.2844444444;-36.0108333333;CARUARU;PE;BRASIL;****;04/06/2011;13:00:00;SIM;FINALIZADA;A-533/CENIPA/2015;SIM;2015-07-07;1;1;NÃO
44580;44580;44580;44580;44580;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBJR;03/06/2011;13:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44589;44589;44589;44589;44589;INCIDENTE;;;ITIRAPINA;SP;BRASIL;SDJA;14/04/2011;03:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44592;44592;44592;44592;44592;ACIDENTE;***;***;OURO VERDE;SP;BRASIL;****;28/05/2011;19:40:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44594;44594;44594;44594;44594;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;****;22/05/2011;20:10:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44597;44597;44597;44597;44597;INCIDENTE GRAVE;-4.8833333333;-65.3563888889;COARI;AM;BRASIL;****;03/06/2011;19:00:00;SIM;FINALIZADA;IG-518/CENIPA/2016;SIM;2016-06-23;1;1;NÃO
44598;44598;44598;44598;44598;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;30/05/2011;00:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44601;44601;44601;44601;44601;INCIDENTE;***;***;CURITIBA;PR;BRASIL;SBBI;02/06/2011;20:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;SIM
44602;44602;44602;44602;44602;INCIDENTE;***;***;ITAJU DO COLÔNIA;BA;BRASIL;****;02/06/2011;14:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44606;44606;44606;44606;44606;ACIDENTE;-13.8919444444;-57.1733333333;DIAMANTINO;MT;BRASIL;****;05/06/2011;19:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44609;44609;44609;44609;44609;INCIDENTE GRAVE;***;***;PARNAÍBA;PI;BRASIL;****;09/06/2011;14:10:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44611;44611;44611;44611;44611;INCIDENTE GRAVE;22.7552777778;47.2680555556;AMERICANA;SP;BRASIL;****;04/06/2011;14:00:00;SIM;FINALIZADA;IG-585/CENIPA/2014;SIM;2016-06-03;1;1;SIM
44612;44612;44612;44612;44612;ACIDENTE;-22.8891666667;-52.1711111111;SÃO JOÃO DO CAIUÁ;PR;BRASIL;****;03/05/2011;13:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44614;44614;44614;44614;44614;INCIDENTE;;;MACAÉ;RJ;BRASIL;****;09/06/2011;11:09:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44627;44627;44627;44627;44627;INCIDENTE;;;RONDONÓPOLIS;MT;BRASIL;****;04/06/2011;13:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44629;44629;44629;44629;44629;ACIDENTE;;;CAMPO GRANDE;MS;BRASIL;****;29/05/2011;19:00:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44630;44630;44630;44630;44630;INCIDENTE;***;***;LONDRINA;PR;BRASIL;****;11/06/2011;11:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;SIM
44635;44635;44635;44635;44635;INCIDENTE;;;GUARULHOS;SP;BRASIL;****;03/06/2011;18:27:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44644;44644;44644;44644;44644;INCIDENTE;;;ALTO ALEGRE;RR;BRASIL;****;20/06/2011;14:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44645;44645;44645;44645;44645;ACIDENTE;-23.1047222222;-47.7244444444;TIETÊ;SP;BRASIL;SDET;23/06/2011;19:00:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;SIM
44647;44647;44647;44647;44647;ACIDENTE;-12.9086111111;-38.3225;SALVADOR;BA;BRASIL;SBSV;18/06/2011;19:07:00;SIM;FINALIZADA;A-115/CENIPA/2012;SIM;2012-10-17;5;1;NÃO
44648;44648;44648;44648;44648;INCIDENTE;;;MARABÁ;PA;BRASIL;SBMA;22/06/2011;17:24:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44649;44649;44649;44649;44649;INCIDENTE GRAVE;-12.9086111111;-38.3225;SALVADOR;BA;BRASIL;****;20/06/2011;17:20:00;SIM;ATIVA;IG-589/CENIPA/2016;SIM;2019-06-28;1;1;NÃO
44652;44652;44652;44652;44652;INCIDENTE GRAVE;***;***;NOVO HAMBURGO;RS;BRASIL;SSNH;19/06/2011;13:00:00;NULL;ATIVA;A DEFINIR;SIM;2018-12-04;5;1;SIM
44655;44655;44655;44655;44655;INCIDENTE;***;***;ITIRAPINA;SP;BRASIL;SDJA;17/06/2011;12:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;SIM
44656;44656;44656;44656;44656;INCIDENTE GRAVE;-19.8263888889;-40.7388888889;ARACRUZ;ES;BRASIL;****;18/06/2011;09:06:00;SIM;ATIVA;IG-551/CENIPA/2016;SIM;2019-10-28;1;1;SIM
44660;44660;44660;44660;44660;ACIDENTE;-16.6455555556;-39.095;PORTO SEGURO;BA;BRASIL;****;17/06/2011;21:49:00;SIM;FINALIZADA;A-092/CENIPA/2012;SIM;2012-08-07;9;1;NÃO
44661;44661;44661;44661;44661;INCIDENTE GRAVE;-23.1344444444;-43.4052777778;RIO DE JANEIRO;RJ;BRASIL;****;17/06/2011;11:59:00;SIM;FINALIZADA;IG-011/CENIPA/2013;SIM;2013-09-19;10;1;NÃO
44670;44670;44670;44670;44670;ACIDENTE;***;***;JANAÚBA;MG;BRASIL;****;02/06/2011;10:00:00;NULL;ATIVA;A-537/CENIPA/2017;NÃO;NULL;0;1;NÃO
44677;44677;44677;44677;44677;INCIDENTE;;;MACEIÓ;AL;BRASIL;SBMO;22/04/2011;20:05:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44698;44698;44698;44698;44698;INCIDENTE;;;CABO FRIO;RJ;BRASIL;****;28/06/2011;11:58:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44700;44700;44700;44700;44700;ACIDENTE;-21.7272222222;-46.9761111111;ITOBI;SP;BRASIL;****;01/07/2011;19:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44703;44703;44703;44703;44703;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;30/06/2011;15:40:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44705;44705;44705;44705;44705;ACIDENTE;-22.9791666667;-46.5375;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;28/06/2011;18:20:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;SIM
44708;44708;44708;44708;44708;INCIDENTE;;;SÃO PAULO;SP;BRASIL;SBMT;28/06/2011;16:20:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44712;44712;44712;44712;44712;INCIDENTE;;;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;18/06/2011;20:16:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44734;44734;44734;44734;44734;ACIDENTE;-22.2302777778;-49.8186111111;VERA CRUZ;SP;BRASIL;SDVE;02/07/2011;13:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44736;44736;44736;44736;44736;INCIDENTE;;;MANAUS;AM;BRASIL;****;05/07/2011;16:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44737;44737;44737;44737;44737;INCIDENTE;;;MANAUS;AM;BRASIL;SBEG;25/06/2011;18:42:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44738;44738;44738;44738;44738;INCIDENTE;;;CURITIBA;PR;BRASIL;****;21/06/2011;15:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44741;44741;44741;44741;44741;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;30/06/2011;14:15:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44742;44742;44742;44742;44742;INCIDENTE;;;BELO HORIZONTE;MG;BRASIL;****;21/06/2011;12:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44761;44761;44761;44761;44761;INCIDENTE;;;MANAUS;AM;BRASIL;****;07/07/2011;08:29:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44762;44762;44762;44762;44762;ACIDENTE;-23.5083333333;-46.7972222222;OSASCO;SP;BRASIL;****;11/07/2011;13:35:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44763;44763;44763;44763;44763;INCIDENTE;;;PASSO FUNDO;RS;BRASIL;****;06/07/2011;20:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44766;44766;44766;44766;44766;INCIDENTE;***;***;VALENÇA;BA;BRASIL;****;29/05/2011;18:35:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44769;44769;44769;44769;44769;INCIDENTE;;;ARACAJU;SE;BRASIL;SBAR;12/06/2011;03:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44770;44770;44770;44770;44770;INCIDENTE;***;***;RIO DE JANEIRO;RJ;BRASIL;****;17/06/2011;13:16:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44772;44772;44772;44772;44772;INCIDENTE;;;GOIÂNIA;GO;BRASIL;****;18/06/2011;18:45:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44775;44775;44775;44775;44775;ACIDENTE;0.8033333333;-55.905;ÓBIDOS;PA;BRASIL;****;01/07/2011;19:25:00;SIM;FINALIZADA;A-104/CENIPA/2012;SIM;2012-09-20;5;1;NÃO
44777;44777;44777;44777;44777;INCIDENTE;;;SANTA CRUZ DO SUL;RS;BRASIL;SSSC;10/07/2011;17:10:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44780;44780;44780;44780;44780;ACIDENTE;***;***;BOA ESPERANÇA;PR;BRASIL;****;10/07/2011;20:00:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44784;44784;44784;44784;44784;INCIDENTE;;;VÁRZEA GRANDE;MT;BRASIL;SBCY;18/06/2011;11:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44793;44793;44793;44793;44793;ACIDENTE;***;***;JOINVILLE;SC;BRASIL;****;10/06/2011;15:15:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44794;44794;44794;44794;44794;INCIDENTE GRAVE;***;***;LONDRINA;PR;BRASIL;****;11/07/2011;18:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;SIM
44795;44795;44795;44795;44795;ACIDENTE;***;***;PASSOS;MG;BRASIL;****;10/07/2011;16:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44796;44796;44796;44796;44796;ACIDENTE;-8.1522222222;34.9094444444;RECIFE;PE;BRASIL;SBRF;13/07/2011;09:54:00;SIM;FINALIZADA;A-019/CENIPA/2013;SIM;2013-07-18;23;1;NÃO
44801;44801;44801;44801;44801;INCIDENTE;;;BOA VISTA;RR;BRASIL;SBBV;16/05/2011;17:42:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44804;44804;44804;44804;44804;INCIDENTE GRAVE;***;***;OCARA;CE;BRASIL;****;17/05/2011;11:30:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44806;44806;44806;44806;44806;INCIDENTE;;;RIBEIRÃO PRETO;SP;BRASIL;****;16/05/2011;10:43:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44811;44811;44811;44811;44811;ACIDENTE;***;***;TEÓFILO OTONI;MG;BRASIL;****;17/05/2011;14:50:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44812;44812;44812;44812;44812;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;01/07/2011;19:35:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44813;44813;44813;44813;44813;ACIDENTE;-21.4086111111;-49.0019444444;NOVO HORIZONTE;SP;BRASIL;****;13/07/2011;03:00:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44814;44814;44814;44814;44814;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;14/07/2011;11:07:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44816;44816;44816;44816;44816;ACIDENTE;;;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;14/07/2011;18:20:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44817;44817;44817;44817;44817;ACIDENTE;-8.7936111111;-63.8580555556;PORTO VELHO;RO;BRASIL;SWRO;12/07/2011;21:20:00;SIM;FINALIZADA;A-019/CENIPA/2014;SIM;2014-06-02;2;1;NÃO
44820;44820;44820;44820;44820;ACIDENTE;***;***;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;13/07/2011;12:45:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;SIM
44828;44828;44828;44828;44828;INCIDENTE;***;***;RIBEIRÃO PRETO;SP;BRASIL;SBRP;15/05/2011;13:12:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44834;44834;44834;44834;44834;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;SBJR;15/07/2011;16:21:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44836;44836;44836;44836;44836;INCIDENTE;;;MANAUS;AM;BRASIL;SBEG;15/07/2011;15:51:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44837;44837;44837;44837;44837;ACIDENTE;-16.0455555556;-57.635;CÁCERES;MT;BRASIL;SWKC;14/07/2011;10:30:00;SIM;FINALIZADA;A-093/CENIPA/2012;SIM;2012-08-29;1;1;NÃO
44838;44838;44838;44838;44838;ACIDENTE;-14.815;-39.0333333333;ILHÉUS;BA;BRASIL;SBIL;14/07/2011;00:35:00;SIM;FINALIZADA;A-116/CENIPA/2012;SIM;2012-10-17;6;1;SIM
44843;44843;44843;44843;44843;ACIDENTE;***;***;BRASÍLIA;DF;BRASIL;****;16/05/2011;12:00:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44845;44845;44845;44845;44845;INCIDENTE GRAVE;***;***;GOIÂNIA;GO;BRASIL;SWNV;16/07/2011;13:00:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44846;44846;44846;44846;44846;INCIDENTE;;;GUARULHOS;SP;BRASIL;SBGR;08/07/2011;22:35:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44850;44850;44850;44850;44850;ACIDENTE;***;***;ARAÇU;GO;BRASIL;****;04/07/2011;10:40:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44851;44851;44851;44851;44851;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;14/07/2011;09:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44853;44853;44853;44853;44853;ACIDENTE;23.3944444444;46.8180555556;CAJAMAR;SP;BRASIL;****;18/07/2011;12:50:00;SIM;FINALIZADA;A-516/CENIPA/2016;SIM;2016-06-23;2;1;NÃO
44855;44855;44855;44855;44855;ACIDENTE;-26.55;-49.0833333333;JARAGUÁ DO SUL;SC;BRASIL;****;15/07/2011;12:25:00;SIM;FINALIZADA;A-543CENIPA2015;SIM;2016-11-11;1;1;NÃO
44856;44856;44856;44856;44856;INCIDENTE;;;NÃO IDENTIFICADA;AM;BRASIL;****;16/07/2011;08:57:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44858;44858;44858;44858;44858;INCIDENTE GRAVE;-15.8691666667;-47.9208333333;BRASÍLIA;DF;BRASIL;SBBR;19/07/2011;20:50:00;SIM;FINALIZADA;IG-505/CENIPA/2015;SIM;2015-04-15;0;1;NÃO
44859;44859;44859;44859;44859;INCIDENTE;;;RIO BRANCO;AC;BRASIL;****;07/07/2011;21:25:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44863;44863;44863;44863;44863;INCIDENTE;;;FORTALEZA;CE;BRASIL;****;15/07/2011;13:28:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44865;44865;44865;44865;44865;INCIDENTE;;;ARACAJU;SE;BRASIL;****;30/04/2011;11:03:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44878;44878;44878;44878;44878;ACIDENTE;-6.4091666667;-49.5588888889;CURIONÓPOLIS;PA;BRASIL;****;22/07/2011;18:30:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;1;1;NÃO
44879;44879;44879;44879;44879;ACIDENTE;-23.5083333333;-46.7972222222;OSASCO;SP;BRASIL;****;25/07/2011;17:25:00;SIM;FINALIZADA;A-523/CENIPA/2014;SIM;2014-08-22;0;1;NÃO
44880;44880;44880;44880;44880;ACIDENTE;***;***;GOIÂNIA;GO;BRASIL;SWNV;26/07/2011;12:00:00;SIM;ATIVA;A DEFINIR;SIM;2019-04-08;0;1;NÃO
44881;44881;44881;44881;44881;ACIDENTE;-25.1877777778;-50.1444444444;PONTA GROSSA;PR;BRASIL;SSZW;20/07/2011;20:00:00;SIM;ATIVA;A-520/CENIPA/2017;SIM;2017-12-30;1;1;NÃO
44882;44882;44882;44882;44882;INCIDENTE;;;TARAUACÁ;AC;BRASIL;SBTK;22/06/2011;16:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44884;44884;44884;44884;44884;INCIDENTE;;;MACAÉ;RJ;BRASIL;SBME;21/07/2011;10:35:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44885;44885;44885;44885;44885;ACIDENTE;-19,9625;-43,9703;BELO HORIZONTE;MG;BRASIL;****;02/08/2011;13:02:00;SIM;FINALIZADA;A-547/CENIPA/2017;SIM;2018-09-24;3;1;NÃO
44887;44887;44887;44887;44887;INCIDENTE GRAVE;***;***;MARITUBA;PA;BRASIL;****;19/07/2011;16:30:00;SIM;ATIVA;A DEFINIR;SIM;2019-10-28;0;1;NÃO
44888;44888;44888;44888;44888;INCIDENTE GRAVE;-25.5311111111;-49.1755555556;SÃO JOSÉ DOS PINHAIS;PR;BRASIL;SBCT;15/07/2011;17:05:00;SIM;FINALIZADA;IG-532/CENIPA/2015;SIM;2016-06-03;11;1;NÃO
44890;44890;44890;44890;44890;INCIDENTE;;;POÇOS DE CALDAS;MG;BRASIL;****;20/07/2011;10:27:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44891;44891;44891;44891;44891;INCIDENTE;;;PASSO FUNDO;RS;BRASIL;SBPF;22/07/2011;16:29:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44892;44892;44892;44892;44892;INCIDENTE;;;MANAUS;AM;BRASIL;SBEG;28/04/2011;23:49:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44893;44893;44893;44893;44893;INCIDENTE;;;GOIÂNIA;GO;BRASIL;****;29/04/2011;17:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44897;44897;44897;44897;44897;INCIDENTE;;;VITÓRIA;ES;BRASIL;SBVT;26/07/2011;10:02:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44901;44901;44901;44901;44901;INCIDENTE;;;CAMPOS DOS GOYTACAZES;RJ;BRASIL;****;03/08/2011;11:48:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44902;44902;44902;44902;44902;INCIDENTE;;;JUNDIAÍ;SP;BRASIL;SBJD;05/08/2011;23:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44903;44903;44903;44903;44903;INCIDENTE GRAVE;;;SOROCABA;SP;BRASIL;****;06/08/2011;19:40:00;NULL;ATIVA;A DEFINIR;NÃO;NULL;0;1;NÃO
44906;44906;44906;44906;44906;INCIDENTE;;;CABO FRIO;RJ;BRASIL;****;15/07/2011;16:48:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44907;44907;44907;44907;44907;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;25/07/2011;13:37:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44917;44917;44917;44917;44917;INCIDENTE;;;ALTA FLORESTA;MT;BRASIL;****;10/08/2011;16:54:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44920;44920;44920;44920;44920;INCIDENTE;;;TABATINGA;AM;BRASIL;****;07/08/2011;00:20:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44921;44921;44921;44921;44921;INCIDENTE;;;GOIÂNIA;GO;BRASIL;SBGO;06/08/2011;19:18:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44922;44922;44922;44922;44922;INCIDENTE;;;JOINVILLE;SC;BRASIL;****;04/07/2011;14:15:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44924;44924;44924;44924;44924;ACIDENTE;-22.1072222222;-47.7763888889;SÃO CARLOS;SP;BRASIL;****;09/08/2011;14:00:00;SIM;FINALIZADA;A-509/CENIPA/2015;SIM;2016-07-07;0;1;NÃO
44926;44926;44926;44926;44926;INCIDENTE GRAVE;NULL;NULL;BELO HORIZONTE;MG;BRASIL;SBPR;11/08/2011;13:01:00;SIM;FINALIZADA;IG-619/CENIPA/2014;SIM;2015-03-20;0;1;NÃO
44927;44927;44927;44927;44927;INCIDENTE;;;CONFINS;MG;BRASIL;****;10/08/2011;10:55:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44935;44935;44935;44935;44935;INCIDENTE;;;CAMPOS DOS GOYTACAZES;RJ;BRASIL;****;15/07/2011;09:21:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44939;44939;44939;44939;44939;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;02/08/2011;20:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44942;44942;44942;44942;44942;ACIDENTE;***;***;PIRAQUARA;PR;BRASIL;****;20/07/2011;19:30:00;NULL;NULL;NULL;NÃO;NULL;0;1;NÃO
44944;44944;44944;44944;44944;ACIDENTE;-17.6502777778;-56.4866666667;CORUMBÁ;MS;BRASIL;****;10/06/2011;20:30:00;NULL;FINALIZADA;A-026/CENIPA/2013;SIM;2013-07-30;4;2;NÃO
44945;44945;44945;44945;44945;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;****;12/08/2011;16:50:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44947;44947;44947;44947;44947;INCIDENTE;;;SÃO PAULO;SP;BRASIL;****;15/08/2011;14:40:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44951;44951;44951;44951;44951;INCIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;****;01/08/2011;23:20:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44955;44955;44955;44955;44955;INCIDENTE;;;CAMPO GRANDE;MS;BRASIL;SBCG;31/07/2011;20:45:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44957;44957;44957;44957;44957;INCIDENTE;;;SOROCABA;SP;BRASIL;****;05/08/2011;18:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44959;44959;44959;44959;44959;INCIDENTE;;;CURITIBA;PR;BRASIL;****;06/08/2011;21:20:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44964;44964;44964;44964;44964;INCIDENTE;;;CAMPOS DOS GOYTACAZES;RJ;BRASIL;****;04/08/2011;12:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44965;44965;44965;44965;44965;INCIDENTE;;;GUARULHOS;SP;BRASIL;****;20/07/2011;03:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44966;44966;44966;44966;44966;ACIDENTE;8.9122222222;35.5838888889;NOVO LINO;AL;BRASIL;****;15/08/2011;19:00:00;SIM;FINALIZADA;A-508/CENIPA/2016;SIM;2016-07-07;1;1;NÃO
44967;44967;44967;44967;44967;ACIDENTE;-30.1877777778;-51.1827777778;PORTO ALEGRE;RS;BRASIL;****;15/08/2011;17:10:00;SIM;ATIVA;A-533/CENIPA/2017;SIM;2018-06-25;2;1;SIM
44968;44968;44968;44968;44968;INCIDENTE GRAVE;***;***;LONDRINA;PR;BRASIL;****;14/08/2011;11:45:00;SIM;ATIVA;IG-518/CENIPA/2017;SIM;2017-11-30;1;1;SIM
44969;44969;44969;44969;44969;INCIDENTE GRAVE;***;***;LONDRINA;PR;BRASIL;SBLO;13/08/2011;19:15:00;NULL;FINALIZADA;IG-519/CENIPA/2017;NÃO;NULL;0;1;NÃO
44974;44974;44974;44974;44974;INCIDENTE;;;RIO BRANCO;AC;BRASIL;****;01/08/2011;15:56:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
44975;44975;44975;44975;44975;ACIDENTE;-11.6169444444;-46.8505555556;DIANÓPOLIS;TO;BRASIL;****;15/07/2011;13:45:00;NULL;FINALIZADA;ENCERRADA NO RAI;NÃO;NULL;0;1;NÃO
